,date,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth
0,1-1-2016,42,34,38.0,0.00,0.0,0
1,2-1-2016,40,32,36.0,0.00,0.0,0
2,3-1-2016,45,35,40.0,0.00,0.0,0
3,4-1-2016,36,14,25.0,0.00,0.0,0
4,5-1-2016,29,11,20.0,0.00,0.0,0
5,6-1-2016,41,25,33.0,0.00,0.0,0
6,7-1-2016,46,31,38.5,0.00,0.0,0
7,8-1-2016,46,31,38.5,0.00,0.0,0
8,9-1-2016,47,40,43.5,T,0.0,0
9,10-1-2016,59,40,49.5,1.80,0.0,0
10,11-1-2016,40,26,33.0,0.00,0.0,0
11,12-1-2016,44,25,34.5,0.00,T,0
12,13-1-2016,30,22,26.0,0.00,0.0,0
13,14-1-2016,38,22,30.0,0.00,T,0
14,15-1-2016,51,34,42.5,T,0.0,0
15,16-1-2016,52,42,47.0,0.24,0.0,0
16,17-1-2016,42,30,36.0,0.05,0.4,0
17,18-1-2016,31,18,24.5,T,T,T
18,19-1-2016,28,16,22.0,0.00,0.0,T
19,20-1-2016,37,27,32.0,0.00,0.0,T
20,21-1-2016,36,26,31.0,0.00,0.0,0
21,22-1-2016,30,21,25.5,0.01,0.2,0
22,23-1-2016,27,24,25.5,2.31,27.3,6
23,24-1-2016,35,20,27.5,T,T,22
24,25-1-2016,39,28,33.5,0.00,0.0,19
25,26-1-2016,48,38,43.0,0.00,0.0,17
26,27-1-2016,47,34,40.5,T,0.0,9
27,28-1-2016,42,32,37.0,0.00,0.0,6
28,29-1-2016,41,30,35.5,0.00,0.0,6
29,30-1-2016,39,28,33.5,0.00,0.0,6
30,31-1-2016,56,36,46.0,0.00,0.0,4
31,1-2-2016,59,44,51.5,0.01,0.0,2
32,2-2-2016,50,38,44.0,0.00,0.0,T
33,3-2-2016,59,42,50.5,0.73,0.0,0
34,4-2-2016,59,44,51.5,T,0.0,0
35,5-2-2016,44,31,37.5,0.53,2.5,1
36,6-2-2016,40,30,35.0,0.00,0.0,0
37,7-2-2016,47,33,40.0,0.00,0.0,0
38,8-2-2016,39,28,33.5,0.05,0.1,0
39,9-2-2016,36,27,31.5,0.00,T,T
40,10-2-2016,39,31,35.0,0.01,T,0
41,11-2-2016,31,18,24.5,T,T,0
42,12-2-2016,27,15,21.0,0.00,0.0,0
43,13-2-2016,22,6,14.0,0.00,0.0,0
44,14-2-2016,15,-1,7.0,0.00,0.0,0
45,15-2-2016,35,13,24.0,0.44,1.4,0
46,16-2-2016,54,35,44.5,1.01,0.0,0
47,17-2-2016,39,35,37.0,0.00,0.0,0
48,18-2-2016,36,27,31.5,0.00,0.0,0
49,19-2-2016,39,24,31.5,0.00,0.0,0
50,20-2-2016,61,39,50.0,0.00,0.0,0
51,21-2-2016,55,44,49.5,0.03,0.0,0
52,22-2-2016,52,38,45.0,0.00,0.0,0
53,23-2-2016,40,35,37.5,0.30,T,0
54,24-2-2016,60,36,48.0,1.22,0.0,0
